Nombre;Equipo;Min.;Jug.;%;Ent.;%;Tit.;%;Sust.;%;Am.;Roj.;Dob.;Gol;Pen.;G.P.P.;Enc.
Aarón Martín;ESP;2815002.815;32;84%;30;79%;31;82%;2;5%;6;0;0;0;0;0;35
Achraf Hakimi;RMA;75700757;9;24%;7;18%;8;21%;2;5%;0;0;0;2;0;0;7
Aday;GIR;1833001.833;31;82%;13;34%;20;53%;18;47%;10;0;0;2;1;1;31
Adnan Januzaj;RSO;1579001.579;28;74%;2;5%;18;47%;26;68%;4;0;0;3;0;0;27
Adrián;DEP;2346002.346;30;79%;20;53%;26;68%;10;26%;1;0;0;9;0;0;54
Adrián;MGA;2341002.341;29;76%;24;63%;27;71%;5;13%;9;1;0;3;1;0;41
Adrián Marín;VIL;23300233;3;8%;1;3%;2;5%;2;5%;1;0;0;0;0;0;4
Aduriz;ATH;2149002.149;33;87%;15;39%;21;55%;18;47%;5;0;0;9;3;0;24
Adán;BET;2700002.700;30;79%;30;79%;30;79%;0;0%;4;0;0;0;0;0;53
Agirretxe;RSO;22300223;11;29%;1;3%;2;5%;10;26%;0;0;0;0;0;0;2
Aissa Mandi;BET;3025003.025;34;89%;33;87%;34;89%;1;3%;9;1;0;1;0;0;49
Aketxe;ATH;340034;3;8%;0;0%;0;0%;3;8%;1;0;0;0;0;0;0
Alberto Aquilani;LPA;1298001.298;21;55%;8;21%;15;39%;13;34%;4;0;0;0;0;0;26
Alberto Redondo;GET;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;0
Alcalá;GIR;69000690;8;21%;7;18%;8;21%;1;3%;3;0;0;1;0;0;13
Alcácer;BAR;69400694;17;45%;1;3%;8;21%;16;42%;0;0;0;4;0;0;3
Aleix García;GIR;84300843;20;53%;5;13%;7;18%;15;39%;3;0;0;1;0;0;20
Aleix Vidal;BAR;45300453;15;39%;0;0%;4;11%;15;39%;0;0;0;1;0;0;2
Alejandro Robles;MGA;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;1
Alexis;ALA;2184002.184;28;74%;23;61%;25;66%;5;13%;6;0;0;1;0;1;33
Aly Abeid;LEV;780078;1;3%;0;0%;1;3%;1;3%;0;0;0;0;0;0;3
Amath;GET;2883002.883;37;97%;10;26%;36;95%;27;71%;9;0;0;3;0;0;24
Amrabat;LEG;1620001.620;30;79%;6;16%;17;45%;24;63%;5;1;1;2;0;0;26
Andone;DEP;1630001.630;29;76%;10;26%;16;42%;19;50%;6;0;0;7;0;0;30
Andoni López;ATH;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;2
Andreas Pereira;VAL;1076001.076;23;61%;3;8%;12;32%;20;53%;5;0;0;1;0;0;17
Andrew Hjulsager;CEL;120012;2;5%;0;0%;0;0%;2;5%;0;0;0;0;0;0;1
André Gomes;BAR;62900629;16;42%;2;5%;6;16%;14;37%;1;0;0;0;0;0;5
Andrés;MGA;36000360;4;11%;4;11%;4;11%;0;0%;0;0;0;0;0;0;10
Andrés Fdez;VIL;22500225;3;8%;2;5%;3;8%;1;3%;0;0;0;0;0;0;6
Antonio Luna;LEV;2021002.021;23;61%;21;55%;22;58%;2;5%;4;0;0;0;0;0;35
Antunes;GET;2797002.797;34;89%;31;82%;31;82%;3;8%;14;0;0;0;0;0;31
Arana;SEV;19200192;3;8%;2;5%;2;5%;1;3%;0;0;0;0;0;1;4
Arbilla;EIB;2411002.411;29;76%;26;68%;26;68%;3;8%;8;0;0;2;0;1;37
Aritz Elustondo;RSO;1598001.598;19;50%;15;39%;18;47%;4;11%;1;0;0;3;0;0;24
Arona Sané;ATM;640064;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;2
Axel Werner;ATM;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;0
Aythami Artiles;LPA;18300183;3;8%;2;5%;2;5%;1;3%;0;0;0;0;0;0;3
Bacca;VIL;2511002.511;35;92%;11;29%;30;79%;24;63%;9;0;0;15;1;0;35
Bakkali;DEP;90600906;23;61%;1;3%;10;26%;22;58%;5;0;0;0;0;0;20
Bale;RMA;1803001.803;26;68%;10;26%;20;53%;16;42%;5;0;0;16;1;0;22
Balenziaga;ATH;1554001.554;18;47%;13;34%;18;47%;5;13%;1;0;0;0;0;0;24
Banega;SEV;2397002.397;31;82%;22;58%;25;66%;9;24%;9;1;0;3;3;0;48
Barbosa;VIL;1125001.125;13;34%;12;32%;12;32%;1;3%;0;0;0;0;0;0;14
Barragán;BET;2377002.377;29;76%;23;61%;28;74%;6;16%;7;0;0;0;0;0;43
Bartra;BET;1421001.421;16;42%;15;39%;16;42%;1;3%;6;0;0;1;0;0;15
Beauvue;LEG;1670001.670;28;74%;9;24%;17;45%;19;50%;4;0;0;2;0;0;25
Bebé;EIB;36100361;9;24%;1;3%;3;8%;8;21%;0;0;0;0;0;0;6
Ben Yedder;SEV;1699001.699;25;66%;13;34%;18;47%;12;32%;1;1;1;9;0;0;27
Benzema;RMA;2156002.156;32;84%;12;32%;25;66%;20;53%;0;0;0;5;2;0;29
Bernardo;GIR;2868002.868;34;89%;30;79%;32;84%;4;11%;7;0;0;0;0;0;49
Beñat;ATH;1115001.115;24;63%;5;13%;12;32%;19;50%;3;0;0;0;0;0;17
Bigas;LPA;89600896;12;32%;8;21%;11;29%;4;11%;3;0;0;0;0;0;26
Boateng;LEV;1270001.270;25;66%;5;13%;10;26%;20;53%;5;0;0;6;0;0;21
Bojan;ALA;43600436;13;34%;0;0%;4;11%;13;34%;0;0;0;0;0;0;11
Bonera;VIL;1190001.190;15;39%;12;32%;14;37%;3;8%;4;1;0;0;0;0;14
Borja Bastón;MGA;97700977;20;53%;5;13%;8;21%;15;39%;2;0;0;2;1;0;18
Borja G.;GIR;2812002.812;37;97%;15;39%;34;89%;22;58%;2;0;0;2;0;0;44
Borja H.;LPA;24200242;3;8%;2;5%;3;8%;1;3%;0;0;0;0;0;0;8
Borja Lasso;SEV;540054;1;3%;0;0%;1;3%;1;3%;0;0;0;0;0;0;1
Borja Mayoral;RMA;33800338;14;37%;1;3%;3;8%;13;34%;0;0;0;3;0;0;7
Borja Valle;DEP;47400474;17;45%;2;5%;3;8%;15;39%;1;0;0;3;0;0;13
Bounou;GIR;2655002.655;30;79%;29;76%;30;79%;1;3%;2;0;0;0;0;0;46
Bruno;GET;1538001.538;20;53%;17;45%;17;45%;3;8%;5;0;0;0;0;0;11
Bruno Gama;DEP;11200112;6;16%;0;0%;1;3%;6;16%;1;0;0;0;0;0;5
Bueno;MGA;21700217;11;29%;0;0%;1;3%;11;29%;0;0;0;0;0;0;4
Burgui;ALA;1034001.034;23;61%;1;3%;12;32%;22;58%;0;0;0;1;0;0;12
Bustinza M.;LEG;1636001.636;20;53%;17;45%;18;47%;3;8%;5;0;0;2;0;0;30
Bóveda;DEP;1191001.191;14;37%;10;26%;13;34%;4;11%;3;0;0;0;0;1;24
Cabrera;GET;72000720;9;24%;7;18%;8;21%;2;5%;3;0;0;0;0;0;6
Calleri;LPA;3111003.111;37;97%;29;76%;34;89%;8;21%;7;0;0;9;5;0;67
Camarasa;BET;1253001.253;24;63%;2;5%;14;37%;22;58%;2;0;0;1;0;1;27
Campaña;LEV;2742002.742;35;92%;22;58%;33;87%;13;34%;8;1;1;1;0;0;46
Campbell;BET;20900209;8;21%;1;3%;2;5%;7;18%;1;0;0;2;0;0;5
Canales;RSO;1921001.921;36;95%;10;26%;20;53%;26;68%;4;0;0;4;0;0;32
Capa;EIB;2247002.247;33;87%;20;53%;25;66%;13;34%;4;0;0;0;0;0;36
Carles Gil;DEP;47800478;10;26%;0;0%;6;16%;10;26%;0;0;0;0;0;0;12
Carlos Fernández;SEV;13900139;2;5%;0;0%;2;5%;2;5%;0;0;0;1;0;0;1
Carlos Isaac;ATM;640064;1;3%;0;0%;1;3%;1;3%;1;0;0;0;0;0;0
Carlos Martínez;RSO;2002;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;0
Carlos Soler;VAL;2374002.374;33;87%;11;29%;27;71%;22;58%;4;0;0;1;0;0;21
Carlos Sánchez ;ESP;1123001.123;14;37%;11;29%;13;34%;3;8%;3;0;0;0;0;0;11
Carriço;SEV;45900459;6;16%;5;13%;5;13%;1;3%;1;0;0;0;0;0;8
Carvajal;RMA;2223002.223;25;66%;24;63%;25;66%;1;3%;11;1;0;0;0;0;30
Casemiro;RMA;2601002.601;30;79%;24;63%;30;79%;6;16%;8;0;0;5;0;0;33
Celso Borges ;DEP;2306002.306;32;84%;16;42%;26;68%;16;42%;3;1;1;3;0;0;43
Champagne;LEG;18000180;2;5%;2;5%;2;5%;0;0%;0;0;0;0;0;0;6
Charles;EIB;1580001.580;30;79%;7;18%;18;47%;23;61%;5;1;0;8;1;0;19
Cheik Doukouré;LEV;1020001.020;19;50%;6;16%;12;32%;13;34%;4;0;0;1;0;0;23
Chema;LEV;2017002.017;25;66%;21;55%;23;61%;4;11%;8;1;0;1;0;1;34
Chichizola;LPA;2430002.430;27;71%;27;71%;27;71%;0;0%;2;0;0;0;0;0;47
Chory Castro;MGA;2075002.075;26;68%;10;26%;26;68%;16;42%;4;1;1;4;1;0;29
Christian Santos;ALA;43300433;10;26%;3;8%;5;13%;7;18%;2;1;1;2;0;0;8
Chéryshev;VIL;92000920;24;63%;0;0%;9;24%;24;63%;2;0;0;2;0;0;11
Cifu;MGA;10700107;2;5%;1;3%;1;3%;1;3%;0;0;0;0;0;0;6
Clement Lenglet;SEV;3002003.002;35;92%;31;82%;33;87%;4;11%;9;0;0;3;0;0;50
Coke;LEV;1385001.385;17;45%;12;32%;16;42%;5;13%;4;1;1;3;0;0;23
Corchia;SEV;82300823;12;32%;4;11%;9;24%;8;21%;4;0;0;0;0;0;16
Correa;SEV;1198001.198;21;55%;3;8%;16;42%;18;47%;5;0;0;1;0;0;12
Cote;EIB;2430002.430;30;79%;21;55%;28;74%;9;24%;4;0;0;0;0;0;35
Coutinho;BAR;1303001.303;18;47%;6;16%;16;42%;12;32%;1;0;0;8;0;0;16
Cuéllar;LEG;3150003.150;35;92%;35;92%;35;92%;0;0%;4;0;0;0;0;0;43
D. Torres;ALA;1218001.218;18;47%;10;26%;14;37%;8;21%;2;0;0;0;0;0;19
Dakonam Djené;GET;3239003.239;36;95%;35;92%;36;95%;1;3%;7;0;0;1;0;0;32
Damián Suárez;GET;2878002.878;33;87%;31;82%;33;87%;2;5%;14;1;0;1;0;0;27
Dani Castellano;LPA;2027002.027;24;63%;20;53%;23;61%;4;11%;5;0;0;0;0;0;40
Dani Ceballos;RMA;39700397;12;32%;1;3%;4;11%;11;29%;0;0;0;2;0;0;6
Dani García;EIB;2781002.781;32;84%;26;68%;32;84%;6;16%;14;0;0;0;0;0;38
Dani Giménez;BET;30900309;4;11%;3;8%;4;11%;1;3%;0;0;0;0;0;0;0
Dani Parejo;VAL;3005003.005;34;89%;30;79%;34;89%;4;11%;15;1;0;7;6;0;33
Darder;ESP;2788002.788;35;92%;21;55%;32;84%;14;37%;7;0;0;1;0;0;34
Darko;LEG;1201001.201;23;61%;5;13%;13;34%;18;47%;3;0;0;2;0;0;18
David Alba;GET;620062;1;3%;0;0%;1;3%;1;3%;0;0;0;0;0;0;0
David García;LPA;85900859;11;29%;9;24%;9;24%;2;5%;2;0;0;1;0;0;23
David Lombán;EIB;99600996;13;34%;9;24%;11;29%;4;11%;3;0;0;1;0;0;17
David López;ESP;3330003.330;37;97%;37;97%;37;97%;0;0%;6;0;0;1;0;0;41
David Simón;LPA;71800718;11;29%;5;13%;6;16%;6;16%;3;0;0;0;0;0;19
David Soria;SEV;1265001.265;15;39%;14;37%;15;39%;1;3%;1;0;0;0;0;0;19
De la Bella;RSO;1529001.529;17;45%;16;42%;17;45%;1;3%;4;0;0;0;0;0;22
De Marcos;ATH;1663001.663;21;55%;14;37%;20;53%;7;18%;5;0;0;1;0;0;23
Dembélé;BAR;93000930;17;45%;2;5%;12;32%;15;39%;2;0;0;3;0;0;14
Denis Suárez;BAR;58400584;18;47%;3;8%;4;11%;15;39%;1;0;0;2;0;0;5
Diego Costa;ATM;1048001.048;15;39%;4;11%;13;34%;11;29%;6;1;1;3;0;0;5
Diego González;MGA;1432001.432;18;47%;12;32%;17;45%;6;16%;5;0;0;1;0;0;29
Diego López;ESP;85400854;10;26%;9;24%;10;26%;1;3%;1;0;0;0;0;0;11
Diego Rolan;MGA;1944001.944;26;68%;17;45%;21;55%;9;24%;0;0;0;5;0;0;42
Diop;EIB;1206001.206;20;53%;8;21%;15;39%;12;32%;7;0;0;0;0;0;16
Diéguez;ALA;43600436;6;16%;3;8%;6;16%;3;8%;5;0;0;0;0;0;6
Dmitrović;EIB;3240003.240;36;95%;36;95%;36;95%;0;0%;1;0;0;0;0;0;49
Douglas Luiz;GIR;29500295;15;39%;1;3%;1;3%;14;37%;4;0;0;0;0;0;10
Duarte;ALA;2141002.141;24;63%;21;55%;24;63%;3;8%;8;1;1;0;0;0;29
Dídac;ESP;72500725;14;37%;6;16%;7;18%;8;21%;3;0;0;0;0;0;10
El Zhar;LEG;1981001.981;30;79%;11;29%;20;53%;19;50%;2;0;0;2;0;0;32
Eloi Amagat;GIR;140014;2;5%;0;0%;0;0%;2;5%;0;0;0;0;0;0;0
Emiliano Martínez;GET;45000450;5;13%;5;13%;5;13%;0;0%;0;0;0;0;0;0;7
Emre Mor;CEL;65000650;23;61%;2;5%;4;11%;21;55%;4;0;0;1;0;0;11
Emre Çolak;DEP;1452001.452;26;68%;2;5%;17;45%;24;63%;4;0;0;1;0;0;36
Enes Ünal;VIL;1719001.719;30;79%;12;32%;18;47%;18;47%;1;0;0;6;0;0;28
Enis Bardhi;LEV;1580001.580;26;68%;8;21%;16;42%;18;47%;9;0;0;9;0;0;27
Eraso;LEG;2540002.540;34;89%;20;53%;31;82%;14;37%;4;0;0;4;0;0;33
Erick Cabaco;LEV;1039001.039;14;37%;10;26%;12;32%;4;11%;5;0;0;0;0;0;17
Erik Exposito;LPA;46200462;10;26%;3;8%;4;11%;7;18%;0;0;0;1;0;0;8
Escalante;EIB;1561001.561;28;74%;9;24%;16;42%;19;50%;3;0;0;1;0;0;31
Escudero;SEV;2332002.332;27;71%;25;66%;26;68%;2;5%;10;0;0;0;0;0;41
Etebo;LPA;1215001.215;14;37%;13;34%;14;37%;1;3%;3;0;0;0;0;0;17
Etxeita;ATH;37700377;5;13%;3;8%;5;13%;2;5%;2;0;0;1;0;0;4
Ezequiel Garay;VAL;2030002.030;24;63%;20;53%;23;61%;4;11%;5;0;0;0;0;0;25
Fabian Schär;DEP;2220002.220;25;66%;24;63%;25;66%;1;3%;10;0;0;2;0;0;56
Fabián;BET;2662002.662;34;89%;23;61%;30;79%;11;29%;3;0;0;3;0;0;45
Facundo Roncaglia;CEL;1492001.492;21;55%;14;37%;17;45%;7;18%;2;0;0;0;0;0;29
Fahad Al-Muwallad;LEV;250025;2;5%;0;0%;0;0%;2;5%;0;0;0;0;0;0;0
Fajr ;GET;2383002.383;31;82%;22;58%;26;68%;9;24%;6;0;0;1;0;0;24
Feddal;BET;1257001.257;15;39%;13;34%;14;37%;2;5%;7;0;0;3;0;1;31
Fede Cartabia;DEP;1332001.332;20;53%;3;8%;16;42%;17;45%;6;0;0;2;0;0;24
Fede Valverde;DEP;1229001.229;24;63%;6;16%;12;32%;18;47%;0;0;0;0;0;0;27
Fernando Navarro;DEP;1042001.042;15;39%;11;29%;11;29%;4;11%;5;0;0;0;0;0;25
Fernando Torres;ATM;96600966;27;71%;4;11%;7;18%;23;61%;2;0;0;5;0;0;9
Ferrán Torres;VAL;30200302;13;34%;0;0%;2;5%;13;34%;0;0;0;0;0;0;3
Filipe Luis;ATM;1660001.660;20;53%;16;42%;19;50%;4;11%;4;0;0;1;0;0;10
Fontàs;CEL;88400884;12;32%;7;18%;9;24%;5;13%;2;0;0;0;0;0;16
Francesc Regis;EIB;1001;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;0
Francis Coquelin;VAL;65600656;9;24%;6;16%;7;18%;3;8%;2;0;0;1;0;0;9
Franco Vázquez;SEV;1845001.845;30;79%;7;18%;22;58%;23;61%;4;0;0;4;0;0;33
G. Cabral;CEL;1890001.890;26;68%;15;39%;20;53%;11;29%;5;0;0;1;0;0;30
Gabi;ATM;2346002.346;34;89%;19;50%;25;66%;15;39%;8;0;0;0;0;0;17
Gabriel;LEG;2383002.383;29;76%;16;42%;28;74%;13;34%;6;1;0;5;1;0;32
Gabriel;VAL;2584002.584;30;79%;28;74%;29;76%;2;5%;5;1;1;0;0;0;27
Gabriel Mercado;SEV;2122002.122;26;68%;19;50%;26;68%;7;18%;9;0;0;0;0;0;30
Gaku Shibasaki;GET;1003001.003;22;58%;1;3%;12;32%;21;55%;1;0;0;1;0;0;7
Gameiro;ATM;1119001.119;25;66%;3;8%;11;29%;22;58%;0;0;0;7;2;0;10
Ganso;SEV;52400524;8;21%;2;5%;7;18%;6;16%;0;0;0;2;0;0;2
Gayá;VAL;2917002.917;34;89%;30;79%;33;87%;4;11%;11;0;0;0;0;0;32
Gerard;ESP;3413003.413;38;100%;37;97%;38;100%;1;3%;4;0;0;16;1;0;42
Gerard;DEP;15800158;3;8%;1;3%;2;5%;2;5%;0;0;0;0;0;0;4
Giménez;ATM;1684001.684;23;61%;17;45%;17;45%;6;16%;6;0;0;1;0;0;14
Godín;ATM;2554002.554;30;79%;27;71%;28;74%;3;8%;6;0;0;0;0;0;15
Gonçalo Guedes;VAL;2441002.441;33;87%;18;47%;27;71%;15;39%;2;0;0;5;0;0;25
Granell;GIR;2853002.853;34;89%;25;66%;33;87%;9;24%;10;0;0;1;0;0;46
Granero;ESP;1222001.222;25;66%;5;13%;11;29%;20;53%;5;0;0;1;0;0;14
Griezmann;ATM;2529002.529;32;84%;17;45%;30;79%;15;39%;6;1;0;19;2;0;15
Guaita;GET;2970002.970;33;87%;33;87%;33;87%;0;0%;1;0;0;0;0;0;26
Guardado;BET;2266002.266;29;76%;20;53%;25;66%;9;24%;7;0;0;2;1;0;42
Guidetti;ALA;1338001.338;25;66%;3;8%;15;39%;22;58%;3;0;0;3;0;0;9
Guido Pizarro;SEV;1754001.754;24;63%;17;45%;19;50%;7;18%;9;0;0;1;0;0;26
Guilherme ;DEP;2643002.643;31;82%;25;66%;31;82%;6;16%;11;0;0;0;0;1;57
Guillermo Maripán;ALA;1527001.527;19;50%;16;42%;17;45%;3;8%;4;0;0;0;0;0;20
Gumbau;LEG;1431001.431;25;66%;11;29%;16;42%;14;37%;8;0;0;1;0;0;30
Gálvez;LPA;1979001.979;22;58%;21;55%;22;58%;1;3%;6;1;0;1;0;0;45
H.Moreno;RSO;72000720;8;21%;8;21%;8;21%;0;0%;1;0;0;1;0;0;9
Halilović;LPA;1306001.306;20;53%;9;24%;16;42%;11;29%;1;1;0;2;0;0;20
Hermoso;ESP;1929001.929;22;58%;21;55%;22;58%;1;3%;5;1;1;1;0;2;28
Hernán;LPA;35100351;7;18%;1;3%;4;11%;6;16%;1;0;0;0;0;0;13
Hernán Pérez;ALA;51000510;14;37%;2;5%;5;13%;12;32%;3;0;0;0;0;0;10
Hernán Toledo;LPA;61700617;15;39%;4;11%;6;16%;11;29%;2;0;0;0;0;0;17
Hugo Mallo;CEL;3004003.004;34;89%;29;76%;34;89%;5;13%;12;0;0;0;0;0;51
Héctor;ALA;150015;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;0
I. Martínez;ATH;2496002.496;28;74%;27;71%;28;74%;1;3%;5;0;0;1;0;0;44
Iago Aspas;CEL;2937002.937;34;89%;30;79%;33;87%;4;11%;9;0;0;22;2;0;46
Iago Herrerín;ATH;72000720;8;21%;8;21%;8;21%;0;0%;0;0;0;0;0;0;6
Ibai;ALA;2324002.324;34;89%;12;32%;26;68%;22;58%;1;0;0;7;1;0;30
Ideye;MGA;73100731;13;34%;4;11%;8;21%;9;24%;2;0;0;1;0;0;12
Igor Zubeldia;RSO;1578001.578;25;66%;13;34%;16;42%;12;32%;3;0;0;1;0;0;29
Illarramendi;RSO;3163003.163;36;95%;33;87%;35;92%;3;8%;8;1;1;7;0;0;55
Imoh Ezekiel;LPA;46800468;10;26%;1;3%;5;13%;9;24%;0;0;0;0;0;0;6
Iniesta;BAR;1842001.842;30;79%;3;8%;25;66%;27;71%;1;0;0;1;0;0;18
Inui;EIB;2640002.640;34;89%;19;50%;31;82%;15;39%;4;0;0;5;0;0;39
Iraizoz;GIR;76500765;9;24%;8;21%;8;21%;1;3%;1;0;0;0;0;1;13
Isco;RMA;1778001.778;30;79%;5;13%;21;55%;25;66%;1;0;0;7;0;0;17
Iturra;MGA;1583001.583;20;53%;15;39%;18;47%;5;13%;6;0;0;0;0;0;27
Iturraspe;ATH;1903001.903;30;79%;13;34%;20;53%;17;45%;7;0;0;0;0;0;28
Ivi;LEV;1759001.759;29;76%;9;24%;17;45%;20;53%;3;0;0;4;1;0;29
Iván Alejo;EIB;1105001.105;22;58%;1;3%;14;37%;21;55%;5;0;0;1;0;0;11
Iván López;LEV;17500175;3;8%;1;3%;3;8%;2;5%;0;0;0;0;0;0;2
Iñigo Lekue;ATH;2104002.104;32;84%;19;50%;22;58%;13;34%;3;0;0;0;0;0;30
J. Costa;VIL;2541002.541;30;79%;24;63%;30;79%;6;16%;13;1;1;0;0;0;34
J. Naranjo;LEG;56100561;16;42%;0;0%;6;16%;16;42%;2;0;0;1;0;0;7
J. Ontiveros;MGA;38000380;12;32%;1;3%;1;3%;11;29%;4;0;0;0;0;0;6
Jaime Sierra;LEG;260026;2;5%;0;0%;0;0%;2;5%;0;0;0;0;0;0;1
Jairo;LPA;55800558;11;29%;0;0%;6;16%;11;29%;1;0;0;0;0;0;18
Jason;LEV;1792001.792;27;71%;10;26%;22;58%;17;45%;2;0;0;1;0;0;25
Jasper Cillessen;BAR;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;1
Jaume;VAL;45000450;5;13%;5;13%;5;13%;0;0%;2;0;0;0;0;0;5
Javi Castellano;LPA;1565001.565;23;61%;12;32%;17;45%;11;29%;4;0;0;0;0;0;34
Javi Fuego;VIL;1880001.880;28;74%;14;37%;23;61%;14;37%;8;0;0;0;0;0;33
Javi García;BET;2410002.410;32;84%;22;58%;27;71%;10;26%;6;0;0;1;0;0;39
Javi López;ESP;96700967;14;37%;9;24%;12;32%;5;13%;4;0;0;0;0;0;8
Jefferson Lerma;LEV;2137002.137;26;68%;21;55%;25;66%;5;13%;16;0;0;0;0;0;28
Jesús Navas;SEV;1762001.762;26;68%;16;42%;20;53%;10;26%;2;0;0;1;0;0;28
Jesús Vallejo;RMA;63000630;7;18%;7;18%;7;18%;0;0%;0;0;0;0;0;0;7
Joan Jordán;EIB;2422002.422;35;92%;20;53%;25;66%;15;39%;1;1;1;6;1;0;33
Joaquín;BET;2487002.487;35;92%;15;39%;29;76%;20;53%;7;0;0;4;0;0;50
Johannes Geis;SEV;67000670;14;37%;6;16%;7;18%;8;21%;0;0;0;0;0;0;9
Jon Bautista;RSO;17200172;11;29%;0;0%;1;3%;11;29%;0;0;0;1;0;0;5
Jon Guridi;RSO;500050;4;11%;0;0%;0;0%;4;11%;0;0;0;0;0;0;0
Jonny;CEL;3203003.203;36;95%;34;89%;36;95%;2;5%;10;0;0;2;0;0;56
Jony;MGA;21400214;5;13%;1;3%;1;3%;4;11%;1;0;0;0;0;0;8
Jordi Alba;BAR;2744002.744;33;87%;27;71%;30;79%;6;16%;8;0;0;2;0;0;21
Jordi Amat;BET;2051002.051;25;66%;16;42%;24;63%;9;24%;6;2;1;0;0;1;31
Jorge Molina;GET;2790002.790;36;95%;20;53%;31;82%;16;42%;10;0;0;7;3;0;27
Jose Arnáiz;BAR;5005;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;0
José Lara;SEV;9009;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;0
Jozabed;CEL;1483001.483;24;63%;4;11%;18;47%;20;53%;7;0;0;0;0;0;28
Juan Cruz;MGA;6006;1;3%;0;0%;0;0%;1;3%;0;0;0;0;0;0;0
