Nombre;Equipo;Tiros;Tiros P.;Asis.;Reg. E.;Reg. F.;Goles;G. Ar.;G. F. Ar.;G. Iz.;G. Der.;G. Pen.;G. Cab.;G. B.P.;G.P.P.
Aarón Martín;ESP;4;2;0;35;17;0;0;0;0;0;0;0;0;0
Achraf Hakimi;RMA;3;3;0;22;9;2;2;0;0;2;0;0;0;0
Aday;GIR;25;14;0;27;15;2;2;0;0;2;1;0;0;1
Adnan Januzaj;RSO;40;14;5;67;57;3;3;0;3;0;0;0;0;0
Adrián;DEP;47;20;6;38;31;9;9;0;1;4;0;3;0;0
Adrián;MGA;26;12;0;8;5;3;3;0;2;0;1;1;0;0
Adrián Marín;VIL;0;0;0;2;3;0;0;0;0;0;0;0;0;0
Aduriz;ATH;52;28;1;19;5;9;9;0;0;6;3;3;0;0
Adán;BET;0;0;2;5;0;0;0;0;0;0;0;0;0;0
Agirretxe;RSO;5;2;0;3;0;0;0;0;0;0;0;0;0;0
Aissa Mandi;BET;11;2;0;13;3;1;1;0;0;0;0;1;0;0
Aketxe;ATH;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Alberto Aquilani;LPA;9;4;0;7;2;0;0;0;0;0;0;0;0;0
Alberto Redondo;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alcalá;GIR;7;3;0;5;0;1;1;0;0;0;0;0;0;0
Alcácer;BAR;13;7;3;3;7;4;4;0;1;2;0;0;0;0
Aleix García;GIR;8;3;0;6;2;1;0;1;0;1;0;0;1;0
Aleix Vidal;BAR;8;6;1;3;7;1;1;0;0;1;0;0;0;0
Alejandro Robles;MGA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alexis;ALA;9;3;0;6;2;1;1;0;0;0;0;1;0;1
Aly Abeid;LEV;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Amath;GET;30;13;3;43;55;3;3;0;0;3;0;0;0;0
Amrabat;LEG;29;18;4;40;31;2;1;1;0;2;0;0;0;0
Andone;DEP;49;22;3;17;32;7;7;0;0;2;0;3;0;0
Andoni López;ATH;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Andreas Pereira;VAL;10;6;3;17;20;1;0;1;0;1;0;0;0;0
Andrew Hjulsager;CEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
André Gomes;BAR;2;0;0;9;12;0;0;0;0;0;0;0;0;0
Andrés;MGA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Andrés Fdez;VIL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antonio Luna;LEV;1;0;2;10;5;0;0;0;0;0;0;0;0;0
Antunes;GET;19;3;2;18;21;0;0;0;0;0;0;0;0;0
Arana;SEV;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Arbilla;EIB;13;4;1;20;1;2;0;2;0;2;0;0;2;1
Aritz Elustondo;RSO;10;5;2;3;5;3;3;0;1;1;0;0;0;0
Arona Sané;ATM;1;1;0;0;2;0;0;0;0;0;0;0;0;0
Axel Werner;ATM;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aythami Artiles;LPA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacca;VIL;57;35;6;34;18;15;14;1;0;11;1;1;0;0
Bakkali;DEP;19;6;0;17;17;0;0;0;0;0;0;0;0;0
Bale;RMA;65;33;2;31;21;16;14;2;13;2;1;1;0;0
Balenziaga;ATH;3;0;2;14;10;0;0;0;0;0;0;0;0;0
Banega;SEV;29;13;3;83;38;3;3;0;0;2;3;0;0;0
Barbosa;VIL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barragán;BET;7;4;6;14;23;0;0;0;0;0;0;0;0;0
Bartra;BET;11;4;0;22;2;1;1;0;0;0;0;1;0;0
Beauvue;LEG;30;9;0;13;10;2;2;0;0;0;0;0;0;0
Bebé;EIB;6;1;1;8;9;0;0;0;0;0;0;0;0;0
Ben Yedder;SEV;39;28;3;16;14;9;9;0;7;1;0;0;0;0
Benzema;RMA;48;18;10;33;16;5;5;0;0;4;2;1;0;0
Bernardo;GIR;19;4;3;2;2;0;0;0;0;0;0;0;0;0
Beñat;ATH;10;3;2;6;6;0;0;0;0;0;0;0;0;0
Bigas;LPA;3;1;0;10;2;0;0;0;0;0;0;0;0;0
Boateng;LEV;35;16;0;15;9;6;5;1;2;4;0;0;0;0
Bojan;ALA;5;4;0;9;2;0;0;0;0;0;0;0;0;0
Bonera;VIL;2;0;1;1;0;0;0;0;0;0;0;0;0;0
Borja Bastón;MGA;21;10;0;3;7;2;2;0;0;2;1;0;0;0
Borja G.;GIR;40;10;5;40;41;2;1;1;0;2;0;0;0;0
Borja H.;LPA;1;0;0;2;3;0;0;0;0;0;0;0;0;0
Borja Lasso;SEV;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Borja Mayoral;RMA;14;12;1;7;2;3;3;0;0;1;0;1;0;0
Borja Valle;DEP;13;7;2;0;4;3;3;0;0;3;0;0;0;0
Bounou;GIR;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Bruno;GET;3;0;0;1;0;0;0;0;0;0;0;0;0;0
Bruno Gama;DEP;1;0;0;2;2;0;0;0;0;0;0;0;0;0
Bueno;MGA;4;1;0;2;1;0;0;0;0;0;0;0;0;0
Burgui;ALA;8;4;0;21;15;1;0;1;0;1;0;0;0;0
Bustinza M.;LEG;13;9;0;3;3;2;2;0;0;0;0;2;0;0
Bóveda;DEP;0;0;1;3;4;0;0;0;0;0;0;0;0;1
Cabrera;GET;2;1;0;3;0;0;0;0;0;0;0;0;0;0
Calleri;LPA;77;28;3;31;33;9;8;1;1;6;5;2;0;0
Camarasa;BET;19;4;0;11;9;1;1;0;0;0;0;1;0;1
Campaña;LEV;17;8;4;36;28;1;1;0;0;1;0;0;0;0
Campbell;BET;5;4;1;9;5;2;2;0;2;0;0;0;0;0
Canales;RSO;44;15;5;44;22;4;3;1;2;2;0;0;0;0
Capa;EIB;4;1;1;34;27;0;0;0;0;0;0;0;0;0
Carles Gil;DEP;7;2;1;2;8;0;0;0;0;0;0;0;0;0
Carlos Fernández;SEV;5;2;0;0;0;1;0;1;1;0;0;0;0;0
Carlos Isaac;ATM;1;0;0;1;1;0;0;0;0;0;0;0;0;0
Carlos Martínez;RSO;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Carlos Soler;VAL;37;17;4;26;30;1;1;0;1;0;0;0;0;0
Carlos Sánchez ;ESP;2;0;0;9;1;0;0;0;0;0;0;0;0;0
Carriço;SEV;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Carvajal;RMA;11;6;2;32;14;0;0;0;0;0;0;0;0;0
Casemiro;RMA;26;12;3;11;6;5;5;0;1;1;0;2;0;0
Celso Borges ;DEP;22;8;3;14;3;3;3;0;0;1;0;2;0;0
Champagne;LEG;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charles;EIB;39;16;1;4;6;8;8;0;1;1;1;3;0;0
Cheik Doukouré;LEV;12;1;0;1;1;1;1;0;0;0;0;1;0;0
Chema;LEV;7;3;1;1;0;1;0;1;1;0;0;0;0;1
Chichizola;LPA;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Chory Castro;MGA;22;9;2;28;23;4;3;1;3;1;1;0;0;0
Christian Santos;ALA;7;5;0;0;0;2;2;0;1;0;0;1;0;0
Chéryshev;VIL;25;9;1;16;17;2;2;0;2;0;0;0;0;0
Cifu;MGA;0;0;0;1;4;0;0;0;0;0;0;0;0;0
Clement Lenglet;SEV;12;5;1;12;2;3;3;0;0;0;0;2;0;0
Coke;LEV;10;5;0;19;9;3;3;0;0;2;0;1;0;0
Corchia;SEV;5;3;1;5;5;0;0;0;0;0;0;0;0;0
Correa;SEV;20;6;1;40;35;1;1;0;1;0;0;0;0;0
Cote;EIB;11;0;8;27;11;0;0;0;0;0;0;0;0;0
Coutinho;BAR;28;20;5;45;31;8;4;4;0;8;0;0;0;0
Cuéllar;LEG;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D. Torres;ALA;4;2;0;9;1;0;0;0;0;0;0;0;0;0
Dakonam Djené;GET;9;2;0;30;3;1;1;0;0;0;0;1;0;0
Damián Suárez;GET;8;5;4;34;49;1;0;1;0;1;0;0;1;0
Dani Castellano;LPA;3;0;2;24;16;0;0;0;0;0;0;0;0;0
Dani Ceballos;RMA;6;4;0;10;8;2;2;0;0;0;0;0;0;0
Dani García;EIB;15;1;1;8;7;0;0;0;0;0;0;0;0;0
Dani Giménez;BET;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Dani Parejo;VAL;38;21;7;46;14;7;6;1;0;6;6;0;1;0
Darder;ESP;18;8;2;34;14;1;1;0;0;1;0;0;0;0
Darko;LEG;9;5;0;10;12;2;2;0;1;1;0;0;0;0
David Alba;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
David García;LPA;5;3;0;5;0;1;1;0;0;1;0;0;0;0
David Lombán;EIB;3;1;0;0;0;1;1;0;0;0;0;1;0;0
David López;ESP;13;6;0;7;5;1;1;0;0;0;0;1;0;0
David Simón;LPA;3;1;0;13;13;0;0;0;0;0;0;0;0;0
David Soria;SEV;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De la Bella;RSO;5;1;1;9;8;0;0;0;0;0;0;0;0;0
De Marcos;ATH;12;8;2;11;8;1;0;1;1;0;0;0;0;0
Dembélé;BAR;15;10;6;40;27;3;3;0;3;0;0;0;0;0
Denis Suárez;BAR;9;5;2;21;15;2;2;0;0;0;0;0;0;0
Diego Costa;ATM;18;10;3;15;17;3;3;0;0;3;0;0;0;0
Diego González;MGA;13;3;0;1;2;1;1;0;0;0;0;1;0;0
Diego López;ESP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diego Rolan;MGA;30;17;0;42;49;5;5;0;0;2;0;0;0;0
Diop;EIB;11;1;0;8;3;0;0;0;0;0;0;0;0;0
Diéguez;ALA;2;0;0;9;0;0;0;0;0;0;0;0;0;0
Dmitrović;EIB;0;0;0;5;1;0;0;0;0;0;0;0;0;0
Douglas Luiz;GIR;9;5;0;4;0;0;0;0;0;0;0;0;0;0
Duarte;ALA;4;0;2;10;5;0;0;0;0;0;0;0;0;0
Dídac;ESP;5;3;0;6;3;0;0;0;0;0;0;0;0;0
El Zhar;LEG;30;14;2;49;44;2;2;0;1;1;0;0;0;0
Eloi Amagat;GIR;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Emiliano Martínez;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Emre Mor;CEL;10;5;2;44;22;1;1;0;1;0;0;0;0;0
Emre Çolak;DEP;15;8;1;33;15;1;1;0;1;0;0;0;0;0
Enes Ünal;VIL;39;23;3;9;18;6;6;0;3;0;0;2;0;0
Enis Bardhi;LEV;27;13;1;23;18;9;3;6;1;7;0;0;5;0
Eraso;LEG;24;13;3;10;12;4;4;0;0;2;0;1;0;0
Erick Cabaco;LEV;2;2;0;2;2;0;0;0;0;0;0;0;0;0
Erik Exposito;LPA;7;2;0;5;3;1;1;0;1;0;0;0;0;0
Escalante;EIB;17;5;0;15;6;1;1;0;0;0;0;1;0;0
Escudero;SEV;13;4;2;26;12;0;0;0;0;0;0;0;0;0
Etebo;LPA;13;3;1;25;6;0;0;0;0;0;0;0;0;0
Etxeita;ATH;4;1;0;0;0;1;1;0;0;1;0;0;0;0
Ezequiel Garay;VAL;5;1;0;0;0;0;0;0;0;0;0;0;0;0
Fabian Schär;DEP;17;6;2;14;6;2;2;0;0;2;0;0;0;0
Fabián;BET;27;17;6;69;22;3;0;3;3;0;0;0;0;0
Facundo Roncaglia;CEL;5;1;0;9;0;0;0;0;0;0;0;0;0;0
Fahad Al-Muwallad;LEV;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Fajr ;GET;17;10;4;19;8;1;0;1;0;0;0;0;0;0
Feddal;BET;5;3;0;3;0;3;3;0;0;0;0;3;0;1
Fede Cartabia;DEP;24;9;1;35;17;2;1;1;2;0;0;0;0;0
Fede Valverde;DEP;14;4;0;7;6;0;0;0;0;0;0;0;0;0
Fernando Navarro;DEP;0;0;0;8;0;0;0;0;0;0;0;0;0;0
Fernando Torres;ATM;25;13;0;17;17;5;5;0;1;4;0;0;0;0
Ferrán Torres;VAL;3;2;1;8;2;0;0;0;0;0;0;0;0;0
Filipe Luis;ATM;5;2;2;26;18;1;1;0;0;1;0;0;0;0
Fontàs;CEL;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Francesc Regis;EIB;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Francis Coquelin;VAL;3;3;0;14;4;1;1;0;0;0;0;1;0;0
Franco Vázquez;SEV;42;13;6;32;24;4;3;1;3;0;0;1;0;0
G. Cabral;CEL;7;2;1;1;0;1;1;0;0;0;0;1;0;0
Gabi;ATM;7;1;1;10;5;0;0;0;0;0;0;0;0;0
Gabriel;LEG;33;15;2;49;29;5;5;0;5;0;1;0;0;0
Gabriel;VAL;15;4;0;5;0;0;0;0;0;0;0;0;0;0
Gabriel Mercado;SEV;14;7;1;4;3;0;0;0;0;0;0;0;0;0
Gaku Shibasaki;GET;7;3;0;12;5;1;0;1;1;0;0;0;0;0
Gameiro;ATM;16;14;2;9;6;7;7;0;1;6;2;0;0;0
Ganso;SEV;6;3;0;4;4;2;2;0;1;0;0;0;0;0
Gayá;VAL;11;3;3;38;24;0;0;0;0;0;0;0;0;0
Gerard;DEP;1;0;0;2;2;0;0;0;0;0;0;0;0;0
Gerard;ESP;85;48;1;63;50;16;15;1;12;3;1;1;0;0
Giménez;ATM;12;2;1;6;2;1;1;0;0;0;0;1;0;0
Godín;ATM;12;5;0;6;1;0;0;0;0;0;0;0;0;0
Gonçalo Guedes;VAL;42;22;9;81;48;5;3;2;0;2;0;0;0;0
Granell;GIR;32;8;7;48;8;1;0;1;1;0;0;0;0;0
Granero;ESP;12;2;2;9;8;1;0;1;0;1;0;0;1;0
Griezmann;ATM;61;40;9;28;18;19;17;2;12;5;2;1;1;0
Guaita;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guardado;BET;30;9;8;22;11;2;1;1;2;0;1;0;1;0
Guidetti;ALA;29;14;3;8;4;3;2;1;1;2;0;0;0;0
Guido Pizarro;SEV;9;4;0;21;10;1;1;0;0;0;0;1;0;0
Guilherme ;DEP;29;2;0;26;9;0;0;0;0;0;0;0;0;1
Guillermo Maripán;ALA;3;1;0;10;1;0;0;0;0;0;0;0;0;0
Gumbau;LEG;12;6;0;6;1;1;0;1;1;0;0;0;0;0
Gálvez;LPA;16;5;0;10;2;1;1;0;0;0;0;1;0;0
H.Moreno;RSO;8;4;0;0;0;1;1;0;1;0;0;0;0;0
Halilović;LPA;29;15;1;31;19;2;1;1;2;0;0;0;0;0
Hermoso;ESP;10;4;0;5;3;1;1;0;0;0;0;1;0;2
Hernán;LPA;4;2;0;0;0;0;0;0;0;0;0;0;0;0
Hernán Pérez;ALA;6;2;0;12;16;0;0;0;0;0;0;0;0;0
Hernán Toledo;LPA;1;1;1;26;22;0;0;0;0;0;0;0;0;0
Hugo Mallo;CEL;18;8;5;19;15;0;0;0;0;0;0;0;0;0
Héctor;ALA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I. Martínez;ATH;14;5;1;11;2;1;1;0;0;0;0;1;0;0
Iago Aspas;CEL;72;44;5;58;34;22;21;1;13;6;2;1;1;0
Iago Herrerín;ATH;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ibai;ALA;39;24;6;38;42;7;5;2;1;6;1;0;0;0
Ideye;MGA;9;3;0;5;7;1;1;0;0;1;0;0;0;0
Igor Zubeldia;RSO;12;3;2;9;1;1;1;0;0;1;0;0;0;0
Illarramendi;RSO;26;11;5;30;9;7;5;2;1;4;0;0;1;0
Imoh Ezekiel;LPA;5;3;0;7;6;0;0;0;0;0;0;0;0;0
Iniesta;BAR;13;6;2;63;14;1;1;0;1;0;0;0;0;0
Inui;EIB;43;21;2;40;47;5;4;1;2;3;0;0;0;0
Iraizoz;GIR;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Isco;RMA;32;20;7;58;25;7;6;1;1;6;0;0;1;0
Iturra;MGA;2;1;0;19;7;0;0;0;0;0;0;0;0;0
Iturraspe;ATH;5;1;0;5;1;0;0;0;0;0;0;0;0;0
Ivi;LEV;27;10;3;33;31;4;3;1;0;2;1;0;0;0
Iván Alejo;EIB;9;3;3;33;39;1;0;1;0;1;0;0;0;0
Iván López;LEV;1;0;1;4;0;0;0;0;0;0;0;0;0;0
Iñigo Lekue;ATH;14;5;1;43;32;0;0;0;0;0;0;0;0;0
J. Costa;VIL;9;3;0;26;12;0;0;0;0;0;0;0;0;0
J. Naranjo;LEG;8;3;0;6;12;1;1;0;0;1;0;0;0;0
J. Ontiveros;MGA;6;3;0;14;18;0;0;0;0;0;0;0;0;0
Jaime Sierra;LEG;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jairo;LPA;6;1;0;10;6;0;0;0;0;0;0;0;0;0
Jason;LEV;23;10;2;25;46;1;1;0;1;0;0;0;0;0
Jasper Cillessen;BAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jaume;VAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Javi Castellano;LPA;3;2;0;7;5;0;0;0;0;0;0;0;0;0
Javi Fuego;VIL;4;2;0;5;3;0;0;0;0;0;0;0;0;0
Javi García;BET;7;1;0;13;4;1;1;0;0;1;0;0;0;0
Javi López;ESP;2;0;0;7;7;0;0;0;0;0;0;0;0;0
Jefferson Lerma;LEV;18;1;1;19;3;0;0;0;0;0;0;0;0;0
Jesús Navas;SEV;16;5;0;16;12;1;0;1;0;0;0;0;0;0
Jesús Vallejo;RMA;0;0;0;5;1;0;0;0;0;0;0;0;0;0
Joan Jordán;EIB;30;17;4;42;22;6;5;1;2;3;1;1;0;0
Joaquín;BET;27;14;7;64;29;4;3;1;0;3;0;1;0;0
Johannes Geis;SEV;5;1;1;0;2;0;0;0;0;0;0;0;0;0
Jon Bautista;RSO;6;3;0;1;0;1;1;0;1;0;0;0;0;0
Jon Guridi;RSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jonny;CEL;8;4;1;46;28;2;2;0;1;1;0;0;0;0
Jony;MGA;5;2;0;5;11;0;0;0;0;0;0;0;0;0
Jordi Alba;BAR;11;5;8;23;10;2;2;0;1;1;0;0;0;0
Jordi Amat;BET;3;1;0;18;4;0;0;0;0;0;0;0;0;1
Jorge Molina;GET;54;26;4;23;43;7;7;0;1;6;3;0;0;0
Jose Arnáiz;BAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0
José Lara;SEV;0;0;0;1;0;0;0;0;0;0;0;0;0;0
