Nombre;Equipo;Tiros;Tiros P.;Asis.;Reg. E.;Reg. F.;Goles;G. Ar.;G. F. Ar.;G. Iz.;G. Der.;G. Pen.;G. Cab.;G. B.P.;G.P.P.
Jozabed;CEL;16;5;4;6;4;0;0;0;0;0;0;0;0;0
Juan Cruz;MGA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Juanfran;ATM;1;0;1;7;7;0;0;0;0;0;0;0;0;0
Juanfran;DEP;16;7;1;47;25;0;0;0;0;0;0;0;0;0
Juanjo Narváez;BET;1;0;0;3;1;0;0;0;0;0;0;0;0;0
Juankar;MGA;0;0;0;6;5;0;0;0;0;0;0;0;0;0
Juanmi;RSO;28;13;2;11;16;8;8;0;0;4;0;1;0;0
Juanpe;GIR;17;11;1;4;0;5;5;0;1;0;0;4;0;0
Juanpi;MGA;12;4;2;9;14;0;0;0;0;0;0;0;0;0
Julio Gracia;BET;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Juncà;EIB;3;0;2;10;3;0;0;0;0;0;0;0;0;0
Jurado;ESP;9;2;3;35;23;0;0;0;0;0;0;0;0;0
Keko;MGA;11;5;2;10;8;0;0;0;0;0;0;0;0;0
Kepa;ATH;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kevin Soni;GIR;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Keylor Navas;RMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kike;EIB;55;27;1;13;17;8;8;0;6;1;0;1;0;0
Kiko Casilla;RMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Koke;ATM;21;14;4;20;7;4;3;1;0;2;0;0;0;0
Kondogbia;VAL;19;8;4;55;9;4;2;2;3;0;0;1;0;0
Kovačić;RMA;6;2;1;33;4;0;0;0;0;0;0;0;0;0
Krohn-Dehli;DEP;11;3;1;15;3;1;0;1;0;1;0;0;0;0
Kévin Rodrigues;RSO;10;3;2;14;10;1;1;0;1;0;0;0;0;1
Lacen;MGA;5;1;0;5;3;0;0;0;0;0;0;0;0;0
Laguardia;ALA;5;2;0;1;0;2;2;0;0;0;0;2;0;1
Lato;VAL;1;0;1;8;1;0;0;0;0;0;0;0;0;0
Llorente R.;RSO;21;7;0;16;2;3;3;0;0;0;0;2;0;0
Lobotka;CEL;6;3;0;44;4;0;0;0;0;0;0;0;0;0
Loren;BET;20;14;0;19;14;7;6;1;0;6;0;1;0;0
Lozano;GIR;13;8;0;11;8;1;0;1;0;1;0;0;0;0
Loïc Remy;GET;35;22;0;27;12;8;6;2;1;5;1;0;0;0
Lucas Boyé;CEL;4;2;0;9;8;0;0;0;0;0;0;0;0;0
Lucas Digne;BAR;2;1;2;3;3;0;0;0;0;0;0;0;0;0
Lucas Hernández;ATM;5;1;1;30;8;0;0;0;0;0;0;0;0;0
Lucas Pérez;DEP;41;26;6;32;38;8;8;0;7;0;3;1;0;0
Lucas Vázquez;RMA;25;17;7;36;30;4;4;0;1;2;0;1;0;0
Luis H. ;MGA;3;0;1;3;0;0;0;0;0;0;0;0;0;0
Luis Muriel;SEV;45;21;1;28;30;7;7;0;1;4;0;1;0;0
Luis Suárez;BAR;94;56;12;38;64;25;25;0;4;19;1;2;0;0
Luisinho;DEP;11;4;1;43;18;1;0;1;1;0;0;0;0;0
Léo Baptistão;ESP;63;28;3;30;50;8;8;0;1;4;0;2;0;0
M. Guerrero;LEG;27;12;3;9;13;4;4;0;1;1;0;1;0;0
M. Gómez;CEL;61;38;4;14;15;17;17;0;0;4;0;9;0;0
M. M. Dos Santos;LEG;1;1;0;1;1;0;0;0;0;0;0;0;0;0
M. Navarro;ESP;14;5;0;9;20;1;1;0;0;1;0;0;0;0
M. Trigueros;VIL;24;8;4;33;13;3;2;1;0;2;1;1;0;0
Maksím Kóval;DEP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mantovani;LEG;5;1;0;2;0;1;1;0;1;0;0;0;0;0
Manu García;ALA;21;8;0;18;9;3;3;0;1;1;0;1;0;0
Marc Roca;ESP;3;0;0;2;1;0;0;0;0;0;0;0;0;0
Marcelo;RMA;25;9;6;33;29;2;2;0;2;0;0;0;0;0
Marco Asensio;RMA;40;23;6;31;14;6;3;3;5;0;0;1;1;0
Marcos Llorente;RMA;6;0;0;7;2;0;0;0;0;0;0;0;0;0
Mario Gaspar;VIL;23;10;3;22;24;2;2;0;1;0;0;1;0;0
Markel Bergara;GET;14;9;1;2;0;4;3;1;1;1;0;1;0;0
Mathieu Flamini;GET;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Mathías Olivera;GET;1;1;0;2;1;1;1;0;0;0;0;1;0;0
Matías Aguirregaray;LPA;6;0;0;14;9;0;0;0;0;0;0;0;0;0
Mauro Arambarri;GET;13;3;1;13;11;1;0;1;0;0;0;0;0;0
Maxime Lestienne;MGA;11;1;1;10;8;0;0;0;0;0;0;0;0;0
Mazan;CEL;2;1;0;1;1;0;0;0;0;0;0;0;0;0
Melendo;ESP;5;2;1;8;7;0;0;0;0;0;0;0;0;0
Messi;BAR;153;96;12;185;72;34;26;8;32;2;2;0;6;0
Michel Macedo;LPA;6;3;1;14;8;0;0;0;0;0;0;0;0;0
Miguel Layún;SEV;15;5;0;8;3;2;2;0;0;2;0;0;0;0
Miguel Torres;MGA;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Miguel Ángel Rubio;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mikel Oyarzabal;RSO;49;32;5;40;42;12;11;1;10;2;0;0;0;0
Mikel Rico;ATH;11;1;0;10;8;0;0;0;0;0;0;0;0;0
Miquel;MGA;8;1;0;10;2;0;0;0;0;0;0;0;0;0
Modrić;RMA;26;8;6;48;15;1;0;1;0;1;0;0;0;0
Mojica;GIR;11;2;4;47;69;0;0;0;0;0;0;0;0;0
Molinero;GET;1;0;0;3;1;0;0;0;0;0;0;0;0;0
Momo;LPA;4;1;1;7;4;0;0;0;0;0;0;0;0;0
Montoya;VAL;5;5;4;19;14;0;0;0;0;0;0;0;0;0
Morales;LEV;45;25;8;91;93;10;10;0;3;6;3;0;0;0
Moyà;RSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mujaid Sadick;DEP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Muniain ;ATH;16;10;2;22;14;4;4;0;1;1;0;1;0;0
Muniesa;GIR;2;1;1;5;2;0;0;0;0;0;0;0;0;0
Munir;ALA;51;23;6;28;22;10;8;2;7;1;0;2;1;0
Murillo;VAL;1;0;0;3;0;0;0;0;0;0;0;0;0;0
Muñoz;LEG;5;2;1;3;0;0;0;0;0;0;0;0;0;0
N'Zonzi;SEV;15;5;2;13;3;1;0;1;0;1;0;0;0;0
N. Semedo;BAR;3;2;0;28;18;0;0;0;0;0;0;0;0;0
Nacho;RMA;8;4;0;6;4;3;3;0;2;1;0;0;0;1
Nacho Gil;LPA;4;3;1;10;11;0;0;0;0;0;0;0;0;0
Nahuel;BET;2;1;0;9;2;0;0;0;0;0;0;0;0;0
Naldo;ESP;1;0;0;2;0;0;0;0;0;0;0;0;0;0
Nano;LEV;6;2;0;2;2;0;0;0;0;0;0;0;0;0
Nemanja Maksimovic;VAL;7;2;0;6;4;0;0;0;0;0;0;0;0;0
Neto;VAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Nolito;SEV;33;18;5;27;27;4;4;0;0;2;0;1;0;0
O. Duarte;ESP;2;0;0;1;0;0;0;0;0;0;0;0;0;0
Oblak ;ATM;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Oier;LEV;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Olunga;GIR;12;6;1;3;3;3;3;0;2;1;0;0;0;0
Omar R.;LEG;6;2;1;33;26;0;0;0;0;0;0;0;0;0
Orellana;EIB;19;5;2;33;60;3;3;0;1;2;0;0;0;0
P. Hernández ;CEL;14;3;2;18;9;3;3;0;3;0;0;0;0;0
P. León;EIB;17;8;3;18;14;0;0;0;0;0;0;0;0;0
P. Mosquera;DEP;9;3;2;9;4;0;0;0;0;0;0;0;0;0
Pablo Fornals;VIL;33;14;12;26;26;3;2;1;1;1;0;1;0;0
Pablo Maffeo;GIR;20;7;1;33;28;0;0;0;0;0;0;0;0;0
Pablo Sarabia;SEV;42;27;5;21;24;6;5;1;3;3;1;0;0;0
Pacheco;GET;0;0;0;4;2;0;0;0;0;0;0;0;0;0
Pacheco;ALA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Pareja;SEV;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pau López;ESP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paulinho;BAR;38;22;2;25;18;9;9;0;0;8;0;1;0;0
Paulo;EIB;10;3;0;2;0;0;0;0;0;0;0;0;0;1
Pazzini;LEV;5;4;0;3;2;1;1;0;0;1;0;0;0;0
Pedraza;ALA;29;13;5;43;55;3;3;0;3;0;0;0;0;0
Pedro López;LEV;2;0;0;7;15;0;0;0;0;0;0;0;0;0
Pere Pons;GIR;9;4;2;41;16;0;0;0;0;0;0;0;0;0
Peñalba;LPA;4;0;0;6;2;0;0;0;0;0;0;0;0;0
Peñaranda;MGA;17;6;0;15;14;0;0;0;0;0;0;0;0;0
Piatti;ESP;21;6;3;24;25;2;2;0;2;0;1;0;0;0
Piqué;BAR;13;5;0;13;3;2;2;0;0;0;0;2;0;0
Planas;GIR;1;0;1;0;1;0;0;0;0;0;0;0;0;0
Portillo;GET;12;8;3;36;40;2;2;0;0;2;1;0;0;0
Portu;GIR;41;25;5;50;68;11;11;0;2;8;0;1;0;0
Postigo;LEV;4;2;0;9;2;1;1;0;0;1;0;0;0;1
R. Albentosa;DEP;10;2;0;2;1;1;1;0;0;0;0;1;0;0
Radoja;CEL;4;2;1;11;5;0;0;0;0;0;0;0;0;0
Rafa Navarro;BET;1;1;0;3;1;0;0;0;0;0;0;0;0;0
Rakitić;BAR;20;11;5;26;8;1;1;0;1;0;0;0;0;0
Ramalho;GIR;6;1;0;13;3;0;0;0;0;0;0;0;0;1
Ramis ;EIB;10;7;0;4;0;3;3;0;0;0;0;3;0;0
Raúl C.;LEG;7;1;2;11;8;0;0;0;0;0;0;0;0;0
Raúl García;ATH;68;34;1;12;8;10;9;1;2;5;3;3;0;0
Raúl Lizoain;LPA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raúl Navas;RSO;11;2;1;6;0;0;0;0;0;0;0;0;0;0
Recio;MGA;17;4;2;17;11;1;1;0;0;0;1;0;0;0
Ricca;MGA;4;3;1;7;1;0;0;0;0;0;0;0;0;0
Rico;LEG;17;8;2;20;15;2;1;1;2;0;0;0;0;0
Riesgo;EIB;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rivera;EIB;1;0;0;2;0;0;0;0;0;0;0;0;0;0
Riza Durmisi;BET;13;6;3;8;12;2;2;0;1;1;0;0;0;0
Roberto;MGA;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Roberto Rosales ;MGA;13;6;0;18;16;1;1;0;0;1;0;0;0;0
Roberto Soriano;VIL;17;6;0;14;7;0;0;0;0;0;0;0;0;0
Rochina;LEV;6;1;0;5;3;1;0;1;1;0;0;0;0;0
Rodri;VIL;24;10;3;25;3;1;1;0;0;1;0;0;0;0
Rodrigo;VAL;71;40;4;44;33;16;13;3;10;1;1;5;0;0
Rodrigo Ely;ALA;15;4;0;3;0;1;1;0;0;0;0;1;0;0
Roger;LEV;20;8;2;13;5;3;3;0;0;3;1;0;0;0
Roger Martínez;VIL;5;3;0;6;4;1;1;0;0;1;0;0;0;0
Rolón;MGA;2;0;0;4;1;0;0;0;0;0;0;0;0;0
Ronaldo;RMA;140;77;5;31;20;26;26;0;7;14;3;5;0;0
Roque Mesa;SEV;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Rubén;DEP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubén Blanco;CEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubén Castro;BET;8;5;1;1;3;1;1;0;0;1;1;0;0;0
Rubén Pardo;RSO;1;0;1;3;2;0;0;0;0;0;0;0;0;0
Rubén Peña;EIB;9;2;0;20;20;1;0;1;0;1;0;0;0;0
Rubén Pérez J.;LEG;13;1;0;27;8;0;0;0;0;0;0;0;0;0
Rukavina;VIL;2;0;0;1;2;0;0;0;0;0;0;0;0;0
Rulli;RSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ryad Boudebouz;BET;14;12;3;38;26;2;1;1;1;1;0;0;0;0
Róber;LEV;6;1;0;8;0;0;0;0;0;0;0;0;0;1
Rúben Semedo;VIL;1;0;0;1;1;0;0;0;0;0;0;0;0;0
S. Asenjo ;VIL;0;0;0;1;0;0;0;0;0;0;0;0;0;0
S. Castillejo;VIL;41;19;5;47;59;6;4;2;5;1;0;0;0;0
S. García;ESP;33;17;6;22;25;2;2;0;0;2;0;0;0;0
S. Sánchez;ESP;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sabin Merino;ATH;7;3;0;2;1;0;0;0;0;0;0;0;0;0
Saborit;ATH;5;2;1;3;4;0;0;0;0;0;0;0;0;0
Sadiku;LEV;2;2;0;2;2;0;0;0;0;0;0;0;0;0
Salem;VIL;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Samuel;MGA;2;1;1;2;5;0;0;0;0;0;0;0;0;0
Samuel Umtiti;BAR;8;5;0;8;3;1;1;0;0;0;0;1;0;0
San José;ATH;17;5;1;20;12;1;1;0;0;1;0;0;0;2
Sanabria;BET;22;13;0;6;5;8;7;1;2;0;0;4;0;0
Sandro;SEV;20;10;1;10;10;0;0;0;0;0;0;0;0;0
Sansone;VIL;10;7;1;10;6;5;5;0;1;1;1;1;0;0
Santi Mina;VAL;33;20;2;19;9;12;12;0;2;5;1;5;0;0
Savić;ATM;1;1;0;4;0;0;0;0;0;0;0;0;0;1
Saúl;ATM;39;9;3;59;37;2;1;1;1;1;0;0;0;0
Saša Lukić;LEV;2;1;1;15;6;0;0;0;0;0;0;0;0;0
Serantes;LEG;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sergi Enrich;EIB;26;11;1;4;3;3;3;0;0;2;0;1;0;1
Sergi Gómez;CEL;11;2;0;1;2;1;1;0;0;0;0;1;0;1
Sergi Roberto;BAR;7;4;7;54;22;1;1;0;0;0;0;0;0;0
Sergio;BAR;4;4;4;18;5;1;1;0;0;0;0;1;0;0
Sergio A.;CEL;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sergio León;BET;46;28;1;20;24;11;10;1;3;5;0;2;0;0
Sergio Mora;GET;4;0;0;0;1;0;0;0;0;0;0;0;0;0
Sergio Ramos;RMA;27;14;1;9;2;4;4;0;0;2;2;2;0;1
Sergio Rico;SEV;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sidnei;DEP;7;2;1;16;5;1;1;0;0;0;0;1;0;0
Simon Kjaer;SEV;7;2;0;1;0;2;2;0;0;1;0;1;0;0
Simone Zaza;VAL;57;24;1;13;35;13;12;1;10;0;0;2;0;0
Siovas;LEG;14;2;1;8;4;1;1;0;0;1;0;0;0;0
Sisto;CEL;39;19;9;75;56;5;3;2;0;4;0;1;1;0
Sivera;ALA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sobrino;ALA;23;13;2;25;14;3;3;0;0;2;0;1;0;0
Stuani;GIR;64;37;0;15;12;21;21;0;1;9;5;10;0;0
Success;MGA;4;1;1;23;15;0;0;0;0;0;0;0;0;0
Sulley Muntari;DEP;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Susaeta;ATH;18;12;2;37;35;3;2;1;0;3;0;0;0;0
Szymanowski;LEG;15;6;2;7;10;2;2;0;2;0;1;0;0;0
T. Pina;ALA;8;3;0;19;3;1;1;0;1;0;0;0;0;0
Tana;LPA;10;6;1;19;18;1;1;0;0;0;0;1;0;0
Tello;BET;27;16;3;42;20;4;4;0;2;1;0;0;0;0
Ter Stegen;BAR;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Theo Hernández;RMA;2;2;0;22;18;0;0;0;0;0;0;0;0;0
Thomas;ATM;18;3;0;45;8;3;1;2;1;1;0;0;1;0
Timor;GIR;9;5;0;1;2;2;1;1;2;0;0;0;1;0
Tito L. R.;LEG;1;0;0;1;2;0;0;0;0;0;0;0;0;0
Toni Kroos;RMA;31;17;7;24;8;5;2;3;2;2;0;0;0;0
Toño;LEV;1;1;1;24;7;0;0;0;0;0;0;0;0;0
Toño Ramírez;RSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tytoń;DEP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unai Núñez;ATH;19;2;0;17;3;1;1;0;0;1;0;0;0;0
Varane;RMA;9;2;1;9;2;0;0;0;0;0;0;0;0;0
Vermaelen;BAR;3;2;1;1;1;0;0;0;0;0;0;0;0;0
Vesga;ATH;6;4;1;7;3;1;1;0;1;0;0;0;0;0
Vezo;VAL;2;1;0;11;6;0;0;0;0;0;0;0;0;0
Vicente Gómez;LPA;8;0;0;7;6;0;0;0;0;0;0;0;0;0
Viera;LPA;32;16;3;64;34;4;3;1;0;3;1;0;0;0
Vietto ;VAL;10;4;1;8;16;2;1;1;0;2;0;0;0;0
Vigaray;ALA;4;1;0;3;7;0;0;0;0;0;0;0;0;0
Vitolo;ATM;13;6;2;34;16;2;2;0;1;1;0;0;0;0
Vrsaljko;ATM;3;0;4;11;12;0;0;0;0;0;0;0;0;0
Víctor López;ALA;0;0;1;0;2;0;0;0;0;0;0;0;0;0
Víctor Ruiz;VIL;5;2;1;5;1;2;2;0;1;0;0;1;0;0
Víctor S.;ESP;11;1;2;11;8;0;0;0;0;0;0;0;0;0
Wakaso;ALA;7;1;1;17;7;0;0;0;0;0;0;0;0;0
Wass;CEL;41;11;9;11;13;4;2;2;0;3;0;1;1;0
Williams;ATH;59;26;6;61;60;7;7;0;0;6;0;1;0;0
Willian José;RSO;67;29;4;18;10;15;14;1;4;4;3;5;0;0
Xabi Prieto;RSO;15;10;5;20;7;3;3;0;0;2;1;0;0;0
Ximo;LPA;3;1;1;36;6;0;0;0;0;0;0;0;0;1
Yeray;ATH;1;0;0;4;1;0;0;0;0;0;0;0;0;0
Yerry Mina ;BAR;2;1;1;1;0;0;0;0;0;0;0;0;0;0
Yoel;EIB;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zaldúa;LEG;8;3;0;31;26;1;1;0;0;1;0;0;0;0
Zdravko Kuzmanovic;MGA;1;0;1;2;0;0;0;0;0;0;0;0;0;0
Zurutuza;RSO;11;3;2;14;8;0;0;0;0;0;0;0;0;0
Álvaro ;VIL;15;3;2;2;2;0;0;0;0;0;0;0;0;0
Álvaro Jiménez;GET;7;4;1;13;22;1;0;1;0;0;0;0;0;0
Álvaro Medrán;ALA;10;6;0;18;12;2;2;0;0;0;0;2;0;0
Álvaro Odriozola;RSO;6;5;4;32;55;0;0;0;0;0;0;0;0;0
Ángel ;GET;55;31;2;22;25;13;10;3;0;10;0;2;0;0
Ángel Correa;ATM;39;27;4;69;58;8;6;2;0;6;0;0;0;0
